,ticker
MMM_segment_1,MMM
MMM_segment_2,MMM
MMM_segment_3,MMM
MMM_segment_4,MMM
MMM_segment_5,MMM
MMM_segment_6,MMM
MMM_segment_7,MMM
MMM_segment_8,MMM
MMM_segment_9,MMM
MMM_segment_10,MMM
MMM_segment_11,MMM
MMM_segment_12,MMM
MMM_segment_13,MMM
MMM_segment_14,MMM
MMM_segment_15,MMM
MMM_segment_16,MMM
MMM_segment_17,MMM
MMM_segment_18,MMM
MMM_segment_19,MMM
MMM_segment_20,MMM
MMM_segment_21,MMM
MMM_segment_22,MMM
MMM_segment_23,MMM
MMM_segment_24,MMM
MMM_segment_25,MMM
MMM_segment_26,MMM
MMM_segment_27,MMM
MMM_segment_28,MMM
MMM_segment_29,MMM
MMM_segment_30,MMM
MMM_segment_31,MMM
MMM_segment_32,MMM
MMM_segment_33,MMM
MMM_segment_34,MMM
MMM_segment_35,MMM
MMM_segment_36,MMM
MMM_segment_37,MMM
MMM_segment_38,MMM
MMM_segment_39,MMM
MMM_segment_40,MMM
MMM_segment_41,MMM
MMM_segment_42,MMM
MMM_segment_43,MMM
MMM_segment_44,MMM
MMM_segment_45,MMM
MMM_segment_46,MMM
MMM_segment_47,MMM
MMM_segment_48,MMM
MMM_segment_49,MMM
MMM_segment_50,MMM
MMM_segment_51,MMM
MMM_segment_52,MMM
MMM_segment_53,MMM
MMM_segment_54,MMM
MMM_segment_55,MMM
MMM_segment_56,MMM
MMM_segment_57,MMM
MMM_segment_58,MMM
MMM_segment_59,MMM
MMM_segment_60,MMM
MMM_segment_61,MMM
MMM_segment_62,MMM
MMM_segment_63,MMM
AOS_segment_1,AOS
AOS_segment_2,AOS
AOS_segment_3,AOS
AOS_segment_4,AOS
AOS_segment_5,AOS
AOS_segment_6,AOS
AOS_segment_7,AOS
AOS_segment_8,AOS
AOS_segment_9,AOS
AOS_segment_10,AOS
AOS_segment_11,AOS
AOS_segment_12,AOS
AOS_segment_13,AOS
AOS_segment_14,AOS
AOS_segment_15,AOS
AOS_segment_16,AOS
AOS_segment_17,AOS
