epoch,val_loss
0,0.047476
epoch,val_loss
0,0.016380
1,0.014392
2,0.014016
3,0.016188
4,0.014581
5,0.015223
6,0.014373
7,0.014432
8,0.014954
9,0.013960
10,0.014606
11,0.014357
12,0.014341
13,0.014022
14,0.014251
15,0.014368
16,0.015976
17,0.014357
18,0.014451
19,0.014276
epoch,val_loss
0,0.046141
epoch,val_loss
0,0.015377
1,0.015017
2,0.015175
3,0.015541
4,0.014477
5,0.015107
6,0.015361
7,0.014318
8,0.014189
9,0.014845
10,0.015147
11,0.014559
12,0.015594
13,0.015639
14,0.014883
15,0.014710
16,0.014408
17,0.014898
18,0.015865
