epoch,val_loss
0,109.474258
epoch,val_loss
0,66.605736
1,51.026524
2,51.883354
3,48.328430
4,47.955654
5,45.176029
6,45.554520
7,44.968384
8,44.643379
9,44.795807
10,45.090515
11,42.995087
12,42.561432
13,42.380108
14,47.294167
15,45.864349
16,41.611416
17,42.421677
18,42.102386
19,43.393612
20,42.223843
21,41.904736
22,41.951714
23,41.102810
24,42.030586
25,41.882782
26,40.602264
27,41.006439
28,42.166557
29,39.150192
30,40.481586
31,40.669674
32,40.235943
33,39.040745
34,40.317787
35,39.309967
36,39.548969
37,40.148842
38,39.958485
39,41.428654
40,40.929752
41,40.241661
42,38.704384
43,39.223194
44,40.095882
45,40.952007
46,39.692574
47,40.257278
48,38.726700
49,38.122566
50,40.047440
51,39.632187
52,39.435768
53,39.024708
54,38.879028
55,38.501064
